0 1 2 3 4 5 6 7 8 9 10 11 12 13
TG309 13 5 28.82 -23 30 46.4 P 8 18.12 0 0.0 0.0 Program
TG310 13 9 12.49 -23 27 45.1 P 8 18.03 0 0.0 0.0 Program
TG311 13 3 46.9 -24 24 5.6 P 8 19.91 0 0.0 0.0 Program
TG312 13 10 31.8 -24 38 55.4 P 8 19.22 0 0.0 0.0 Program
TG313 13 9 47.14 -23 32 29.8 P 8 19.34 0 0.0 0.0 Program
TG314 13 7 9.14 -24 13 27.2 P 8 19.54 0 0.0 0.0 Program
TG315 13 7 36.32 -23 23 3.5 P 8 19.47 0 0.0 0.0 Program
TG316 13 9 15.29 -23 52 40.5 P 8 18.09 0 0.0 0.0 Program
TG317 13 3 41.6 -23 43 54.5 P 8 18.64 0 0.0 0.0 Program
TG318 13 7 5.42 -24 23 12.9 P 8 19.52 0 0.0 0.0 Program
TG319 13 3 35.62 -24 13 22.8 P 8 19.79 0 0.0 0.0 Program
TG320 13 5 32.61 -24 12 20.8 P 8 17.69 0 0.0 0.0 Program
TG321 13 8 26.9 -23 33 17.3 P 8 19.88 0 0.0 0.0 Program
TG322 13 5 37.25 -24 36 21.1 P 8 19.8 0 0.0 0.0 Program
TG323 13 5 13.05 -24 45 33.9 P 8 19.78 0 0.0 0.0 Program
TG324 13 9 32.96 -24 12 12.9 P 8 19.88 0 0.0 0.0 Program
TG325 13 4 45.29 -24 45 31.6 P 8 19.81 0 0.0 0.0 Program
TG326 13 11 49.48 -23 50 34.4 P 8 19.86 0 0.0 0.0 Program
TG327 13 3 23.34 -24 1 20.1 P 8 19.43 0 0.0 0.0 Program
TG328 13 10 5.41 -24 45 31.5 P 8 19.27 0 0.0 0.0 Program
